[2016/8/14 - 11:15:31] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/14 - 11:23:29] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 11:24:39] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/14 - 11:36:08] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 11:38:12] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/14 - 11:48:23] Thai_nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 11:49:01] Thai_nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/14 - 11:58:02] thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 11:59:20] thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/14 - 12:04:18] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 12:05:35] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/14 - 12:09:13] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 12:12:06] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/14 - 12:17:34] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 12:19:29] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/14 - 12:32:31] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 12:33:00] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/14 - 12:34:10] Tha_Em (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 12:34:24] Tha_Em (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has been kicked/banned.
[2016/8/14 - 12:35:07] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 12:36:24] Tha_EM (ID: 1 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 12:43:01] Tha_EM (ID: 1 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/14 - 12:45:33] Tha_em (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 12:45:58] Tha_em (ID: 0 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/14 - 17:46:09] Thai_nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 17:47:30] Thai_nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/14 - 17:57:45] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 17:59:20] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/14 - 18:00:22] thai_nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 18:00:32] thai_nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/14 - 18:01:33] Thai_nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 18:03:01] Thai_nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/14 - 18:14:03] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 18:15:30] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/14 - 18:16:12] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 18:16:29] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/14 - 18:18:06] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 18:19:23] Test_System (ID: 1 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 18:22:51] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has timed out.
[2016/8/14 - 18:24:25] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 18:33:12] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/14 - 18:33:23] Test_System (ID: 1 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has disconnected.
[2016/8/14 - 18:50:41] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 18:52:50] Test_System (ID: 1 | SQL ID: 2 | Level: 1 | IP: 127.0.0.1) has logged in.
[2016/8/14 - 18:56:04] Thai_Nguyen (ID: 0 | SQL ID: 1 | Level: 1 | IP: 127.0.0.1) has disconnected.
